序号	汉字	级别	GB/T 13000	GB 18030
901	即	1	5373	BCB4
902	层	1	5C42	B2E3
903	屁	1	5C41	C6A8
904	尿	1	5C3F	C4F2
905	尾	1	5C3E	CEB2
906	迟	1	8FDF	B3D9
907	局	1	5C40	BED6
908	改	1	6539	B8C4
909	张	1	5F20	D5C5
910	忌	1	5FCC	BCC9
911	际	1	9645	BCCA
912	陆	1	9646	C2BD
913	阿	1	963F	B0A2
914	陈	1	9648	B3C2
915	阻	1	963B	D7E8
916	附	1	9644	B8BD
917	坠	1	5760	D7B9
918	妓	1	5993	BCCB
919	妙	1	5999	C3EE
920	妖	1	5996	D1FD
921	姊	1	59CA	E6A2
922	妨	1	59A8	B7C1
923	妒	1	5992	B6CA
924	努	1	52AA	C5AC
925	忍	1	5FCD	C8CC
926	劲	1	52B2	BEA2
927	矣	1	77E3	D2D3
928	鸡	1	9E21	BCA6
929	纬	1	7EAC	CEB3
930	驱	1	9A71	C7FD
931	纯	1	7EAF	B4BF
932	纱	1	7EB1	C9B4
933	纲	1	7EB2	B8D9
934	纳	1	7EB3	C4C9
935	驳	1	9A73	B2B5
936	纵	1	7EB5	D7DD
937	纷	1	7EB7	B7D7
938	纸	1	7EB8	D6BD
939	纹	1	7EB9	CEC6
940	纺	1	7EBA	B7C4
941	驴	1	9A74	C2BF
942	纽	1	7EBD	C5A6
943	奉	1	5949	B7EE
944	玩	1	73A9	CDE6
945	环	1	73AF	BBB7
946	武	1	6B66	CEE4
947	青	1	9752	C7E0
948	责	1	8D23	D4F0
949	现	1	73B0	CFD6
950	玫	1	73AB	C3B5
951	表	1	8868	B1ED
952	规	1	89C4	B9E6
953	抹	1	62B9	C4A8
954	卦	1	5366	D8D4
955	坷	1	5777	BFC0
956	坯	1	576F	C5F7
957	拓	1	62D3	CDD8
958	拢	1	62E2	C2A3
959	拔	1	62D4	B0CE
960	坪	1	576A	C6BA
961	拣	1	62E3	BCF0
962	坦	1	5766	CCB9
963	担	1	62C5	B5A3
964	坤	1	5764	C0A4
965	押	1	62BC	D1BA
966	抽	1	62BD	B3E9
967	拐	1	62D0	B9D5
968	拖	1	62D6	CDCF
969	者	1	8005	D5DF
970	拍	1	62CD	C5C4
971	顶	1	9876	B6A5
972	拆	1	62C6	B2F0
973	拎	1	62CE	C1E0
974	拥	1	62E5	D3B5
975	抵	1	62B5	B5D6
976	拘	1	62D8	BED0
977	势	1	52BF	CAC6
978	抱	1	62B1	B1A7
979	拄	1	62C4	D6F4
980	垃	1	5783	C0AC
981	拉	1	62C9	C0AD
982	拦	1	62E6	C0B9
983	幸	1	5E78	D0D2
984	拌	1	62CC	B0E8
985	拧	1	62E7	C5A1
986	拂	1	62C2	B7F7
987	拙	1	62D9	D7BE
988	招	1	62DB	D5D0
989	坡	1	5761	C6C2
990	披	1	62AB	C5FB
991	拨	1	62E8	B2A6
992	择	1	62E9	D4F1
993	抬	1	62AC	CCA7
994	拇	1	62C7	C4B4
995	拗	1	62D7	DED6
996	其	1	5176	C6E4
997	取	1	53D6	C8A1
998	茉	1	8309	DCD4
999	苦	1	82E6	BFE0
1000	昔	1	6614	CEF4
1001	苛	1	82DB	BFC1
1002	若	1	82E5	C8F4
1003	茂	1	8302	C3AF
1004	苹	1	82F9	C6BB
1005	苗	1	82D7	C3E7
1006	英	1	82F1	D3A2
1007	苟	1	82DF	B9B6
1008	苑	1	82D1	D4B7
1009	苞	1	82DE	B0FA
1010	范	1	8303	B7B6
1011	直	1	76F4	D6B1
1012	茁	1	8301	D7C2
1013	茄	1	8304	C7D1
1014	茎	1	830E	BEA5
1015	苔	1	82D4	CCA6
1016	茅	1	8305	C3A9
1017	枉	1	6789	CDF7
1018	林	1	6797	C1D6
1019	枝	1	679D	D6A6
1020	杯	1	676F	B1AD
1021	枢	1	67A2	CAE0
1022	柜	1	67DC	B9F1
1023	枚	1	679A	C3B6
1024	析	1	6790	CEF6
1025	板	1	677F	B0E5
1026	松	1	677E	CBC9
1027	枪	1	67AA	C7B9
1028	枫	1	67AB	B7E3
1029	构	1	6784	B9B9
1030	杭	1	676D	BABC
1031	杰	1	6770	BDDC
1032	述	1	8FF0	CAF6
1033	枕	1	6795	D5ED
1034	丧	1	4E27	C9A5
1035	或	1	6216	BBF2
1036	画	1	753B	BBAD
1037	卧	1	5367	CED4
1038	事	1	4E8B	CAC2
1039	刺	1	523A	B4CC
1040	枣	1	67A3	D4E6
1041	雨	1	96E8	D3EA
1042	卖	1	5356	C2F4
1043	郁	1	90C1	D3F4
1044	矾	1	77FE	B7AF
1045	矿	1	77FF	BFF3
1046	码	1	7801	C2EB
1047	厕	1	5395	B2DE
1048	奈	1	5948	C4CE
1049	奔	1	5954	B1BC
1050	奇	1	5947	C6E6
1051	奋	1	594B	B7DC
1052	态	1	6001	CCAC
1053	欧	1	6B27	C5B7
1054	殴	1	6BB4	C5B9
1055	垄	1	5784	C2A2
1056	妻	1	59BB	C6DE
1057	轰	1	8F70	BAE4
1058	顷	1	9877	C7EA
1059	转	1	8F6C	D7AA
1060	斩	1	65A9	D5B6
1061	轮	1	8F6E	C2D6
1062	软	1	8F6F	C8ED
1063	到	1	5230	B5BD
1064	非	1	975E	B7C7
1065	叔	1	53D4	CAE5
1066	歧	1	6B67	C6E7
1067	肯	1	80AF	BFCF
1068	齿	1	9F7F	B3DD
1069	些	1	4E9B	D0A9
1070	卓	1	5353	D7BF
1071	虎	1	864E	BBA2
1072	虏	1	864F	C2B2
1073	肾	1	80BE	C9F6
1074	贤	1	8D24	CFCD
1075	尚	1	5C1A	C9D0
1076	旺	1	65FA	CDFA
1077	具	1	5177	BEDF
1078	味	1	5473	CEB6
1079	果	1	679C	B9FB
1080	昆	1	6606	C0A5
1081	国	1	56FD	B9FA
1082	哎	1	54CE	B0A5
1083	咕	1	5495	B9BE
1084	昌	1	660C	B2FD
1085	呵	1	5475	BAC7
1086	畅	1	7545	B3A9
1087	明	1	660E	C3F7
1088	易	1	6613	D2D7
1089	咙	1	5499	C1FC
1090	昂	1	6602	B0BA
1091	迪	1	8FEA	B5CF
1092	典	1	5178	B5E4
1093	固	1	56FA	B9CC
1094	忠	1	5FE0	D6D2
1095	呻	1	547B	C9EB
1096	咒	1	5492	D6E4
1097	咋	1	548B	D5A6
1098	咐	1	5490	B8C0
1099	呼	1	547C	BAF4
1100	鸣	1	9E23	C3F9
1101	咏	1	548F	D3BD
1102	呢	1	5462	C4D8
1103	咄	1	5484	DFCD
1104	咖	1	5496	BFA7
1105	岸	1	5CB8	B0B6
1106	岩	1	5CA9	D1D2
1107	帖	1	5E16	CCFB
1108	罗	1	7F57	C2DE
1109	帜	1	5E1C	D6C4
1110	帕	1	5E15	C5C1
1111	岭	1	5CAD	C1EB
1112	凯	1	51EF	BFAD
1113	败	1	8D25	B0DC
1114	账	1	8D26	D5CB
1115	贩	1	8D29	B7B7
1116	贬	1	8D2C	B1E1
1117	购	1	8D2D	B9BA
1118	贮	1	8D2E	D6FC
1119	图	1	56FE	CDBC
1120	钓	1	9493	B5F6
1121	制	1	5236	D6C6
1122	知	1	77E5	D6AA
1123	迭	1	8FED	B5FC
1124	氛	1	6C1B	B7D5
1125	垂	1	5782	B4B9
1126	牧	1	7267	C4C1
1127	物	1	7269	CEEF
1128	乖	1	4E56	B9D4
1129	刮	1	522E	B9CE
1130	秆	1	79C6	B8D1
1131	和	1	548C	BACD
1132	季	1	5B63	BCBE
1133	委	1	59D4	CEAF
1134	秉	1	79C9	B1FC
1135	佳	1	4F73	BCD1
1136	侍	1	4F8D	CACC
1137	岳	1	5CB3	D4C0
1138	供	1	4F9B	B9A9
1139	使	1	4F7F	CAB9
1140	例	1	4F8B	C0FD
1141	侠	1	4FA0	CFC0
1142	侥	1	4FA5	BDC4
1143	版	1	7248	B0E6
1144	侄	1	4F84	D6B6
1145	侦	1	4FA6	D5EC
1146	侣	1	4FA3	C2C2
1147	侧	1	4FA7	B2E0
1148	凭	1	51ED	C6BE
1149	侨	1	4FA8	C7C8
1150	佩	1	4F69	C5E5
1151	货	1	8D27	BBF5
1152	侈	1	4F88	B3DE
1153	依	1	4F9D	D2C0
1154	卑	1	5351	B1B0
1155	的	1	7684	B5C4
1156	迫	1	8FEB	C6C8
1157	质	1	8D28	D6CA
1158	欣	1	6B23	D0C0
1159	征	1	5F81	D5F7
1160	往	1	5F80	CDF9
1161	爬	1	722C	C5C0
1162	彼	1	5F7C	B1CB
1163	径	1	5F84	BEB6
1164	所	1	6240	CBF9
1165	舍	1	820D	C9E1
1166	金	1	91D1	BDF0
1167	刹	1	5239	C9B2
1168	命	1	547D	C3FC
1169	肴	1	80B4	EBC8
1170	斧	1	65A7	B8AB
1171	爸	1	7238	B0D6
1172	采	1	91C7	B2C9
1173	觅	1	89C5	C3D9
1174	受	1	53D7	CADC
1175	乳	1	4E73	C8E9
1176	贪	1	8D2A	CCB0
1177	念	1	5FF5	C4EE
1178	贫	1	8D2B	C6B6
1179	忿	1	5FFF	B7DE
1180	肤	1	80A4	B7F4
1181	肺	1	80BA	B7CE
1182	肢	1	80A2	D6AB
1183	肿	1	80BF	D6D7
1184	胀	1	80C0	D5CD
1185	朋	1	670B	C5F3
1186	股	1	80A1	B9C9
1187	肮	1	80AE	B0B9
1188	肪	1	80AA	B7BE
1189	肥	1	80A5	B7CA
1190	服	1	670D	B7FE
1191	胁	1	80C1	D0B2
1192	周	1	5468	D6DC
1193	昏	1	660F	BBE8
1194	鱼	1	9C7C	D3E3
1195	兔	1	5154	CDC3
1196	狐	1	72D0	BAFC
1197	忽	1	5FFD	BAF6
1198	狗	1	72D7	B9B7
1199	狞	1	72DE	C4FC
1200	备	1	5907	B1B8
1201	饰	1	9970	CACE
1202	饱	1	9971	B1A5
1203	饲	1	9972	CBC7
1204	变	1	53D8	B1E4
1205	京	1	4EAC	BEA9
1206	享	1	4EAB	CFED
1207	庞	1	5E9E	C5D3
1208	店	1	5E97	B5EA
1209	夜	1	591C	D2B9
1210	庙	1	5E99	C3ED
1211	府	1	5E9C	B8AE
1212	底	1	5E95	B5D7
1213	疟	1	759F	C5B1
1214	疙	1	7599	B8ED
1215	疚	1	759A	BECE
1216	剂	1	5242	BCC1
1217	卒	1	5352	D7E4
1218	郊	1	90CA	BDBC
1219	庚	1	5E9A	B8FD
1220	废	1	5E9F	B7CF
1221	净	1	51C0	BEBB
1222	盲	1	76F2	C3A4
1223	放	1	653E	B7C5
1224	刻	1	523B	BFCC
1225	育	1	80B2	D3FD
1226	氓	1	6C13	C3A5
1227	闸	1	95F8	D5A2
1228	闹	1	95F9	C4D6
1229	郑	1	90D1	D6A3
1230	券	1	5238	C8AF
1231	卷	1	5377	BEED
1232	单	1	5355	B5A5
1233	炬	1	70AC	BEE6
1234	炒	1	7092	B3B4
1235	炊	1	708A	B4B6
1236	炕	1	7095	BFBB
1237	炎	1	708E	D1D7
1238	炉	1	7089	C2AF
1239	沫	1	6CAB	C4AD
1240	浅	1	6D45	C7B3
1241	法	1	6CD5	B7A8
1242	泄	1	6CC4	D0B9
1243	沽	1	6CBD	B9C1
1244	河	1	6CB3	BAD3
1245	沾	1	6CBE	D5B4
1246	泪	1	6CEA	C0E1
1247	沮	1	6CAE	BEDA
1248	油	1	6CB9	D3CD
1249	泊	1	6CCA	B2B4
1250	沿	1	6CBF	D1D8
1251	泡	1	6CE1	C5DD
1252	注	1	6CE8	D7A2
1253	泣	1	6CE3	C6FC
1254	泞	1	6CDE	C5A2
1255	泻	1	6CFB	D0BA
1256	泌	1	6CCC	C3DA
1257	泳	1	6CF3	D3BE
1258	泥	1	6CE5	C4E0
1259	沸	1	6CB8	B7D0
1260	沼	1	6CBC	D5D3
1261	波	1	6CE2	B2A8
1262	泼	1	6CFC	C6C3
1263	泽	1	6CFD	D4F3
1264	治	1	6CBB	D6CE
1265	怔	1	6014	D5FA
1266	怯	1	602F	C7D3
1267	怖	1	6016	B2C0
1268	性	1	6027	D0D4
1269	怕	1	6015	C5C2
1270	怜	1	601C	C1AF
1271	怪	1	602A	B9D6
1272	怡	1	6021	E2F9
1273	学	1	5B66	D1A7
1274	宝	1	5B9D	B1A6
1275	宗	1	5B97	D7DA
1276	定	1	5B9A	B6A8
1277	宠	1	5BA0	B3E8
1278	宜	1	5B9C	D2CB
1279	审	1	5BA1	C9F3
1280	宙	1	5B99	D6E6
1281	官	1	5B98	B9D9
1282	空	1	7A7A	BFD5
1283	帘	1	5E18	C1B1
1284	宛	1	5B9B	CDF0
1285	实	1	5B9E	CAB5
1286	试	1	8BD5	CAD4
1287	郎	1	90CE	C0C9
1288	诗	1	8BD7	CAAB
1289	肩	1	80A9	BCE7
1290	房	1	623F	B7BF
1291	诚	1	8BDA	B3CF
1292	衬	1	886C	B3C4
1293	衫	1	886B	C9C0
1294	视	1	89C6	CAD3
1295	祈	1	7948	C6ED
1296	话	1	8BDD	BBB0
1297	诞	1	8BDE	B5AE
1298	诡	1	8BE1	B9EE
1299	询	1	8BE2	D1AF
1300	该	1	8BE5	B8C3
1301	详	1	8BE6	CFEA
1302	建	1	5EFA	BDA8
1303	肃	1	8083	CBE0
1304	录	1	5F55	C2BC
1305	隶	1	96B6	C1A5
1306	帚	1	5E1A	D6E3
1307	屉	1	5C49	CCEB
1308	居	1	5C45	BED3
1309	届	1	5C4A	BDEC
1310	刷	1	5237	CBA2
1311	屈	1	5C48	C7FC
1312	弧	1	5F27	BBA1
1313	弥	1	5F25	C3D6
1314	弦	1	5F26	CFD2
1315	承	1	627F	B3D0
1316	孟	1	5B5F	C3CF
1317	陋	1	964B	C2AA
1318	陌	1	964C	C4B0
1319	孤	1	5B64	B9C2
1320	陕	1	9655	C9C2
1321	降	1	964D	BDB5
1322	函	1	51FD	BAAF
1323	限	1	9650	CFDE
1324	妹	1	59B9	C3C3
1325	姑	1	59D1	B9C3
1326	姐	1	59D0	BDE3
1327	姓	1	59D3	D0D5
1328	妮	1	59AE	C4DD
1329	始	1	59CB	CABC
1330	姆	1	59C6	C4B7
1331	迢	1	8FE2	CCF6
1332	驾	1	9A7E	BCDD
1333	叁	1	53C1	C8FE
1334	参	1	53C2	B2CE
1335	艰	1	8270	BCE8
1336	线	1	7EBF	CFDF
1337	练	1	7EC3	C1B7
1338	组	1	7EC4	D7E9
1339	绅	1	7EC5	C9F0
1340	细	1	7EC6	CFB8
1341	驶	1	9A76	CABB
1342	织	1	7EC7	D6AF
1343	驹	1	9A79	BED4
1344	终	1	7EC8	D6D5
1345	驻	1	9A7B	D7A4
1346	绊	1	7ECA	B0ED
1347	驼	1	9A7C	CDD5
1348	绍	1	7ECD	C9DC
1349	绎	1	7ECE	D2EF
1350	经	1	7ECF	BEAD
1351	贯	1	8D2F	B9E1
1352	契	1	5951	C6F5
1353	贰	1	8D30	B7A1
1354	奏	1	594F	D7E0
1355	春	1	6625	B4BA
1356	帮	1	5E2E	B0EF
1357	玷	1	73B7	E7E8
1358	珍	1	73CD	D5E4
1359	玲	1	73B2	C1E1
1360	珊	1	73CA	C9BA
1361	玻	1	73BB	B2A3
1362	毒	1	6BD2	B6BE
1363	型	1	578B	D0CD
1364	拭	1	62ED	CAC3
1365	挂	1	6302	B9D2
1366	封	1	5C01	B7E2
1367	持	1	6301	B3D6
1368	拷	1	62F7	BFBD
1369	拱	1	62F1	B9B0
1370	项	1	9879	CFEE
1371	垮	1	57AE	BFE5
1372	挎	1	630E	BFE6
1373	城	1	57CE	B3C7
1374	挟	1	631F	D0AE
1375	挠	1	6320	C4D3
1376	政	1	653F	D5FE
1377	赴	1	8D74	B8B0
1378	赵	1	8D75	D5D4
1379	挡	1	6321	B5B2
1380	拽	1	62FD	D7A7
1381	哉	1	54C9	D4D5
1382	挺	1	633A	CDA6
1383	括	1	62EC	C0A8
1384	垢	1	57A2	B9B8
1385	拴	1	62F4	CBA9
1386	拾	1	62FE	CAB0
1387	挑	1	6311	CCF4
1388	垛	1	579B	B6E2
1389	指	1	6307	D6B8
1390	垫	1	57AB	B5E6
1391	挣	1	6323	D5F5
1392	挤	1	6324	BCB7
1393	拼	1	62FC	C6B4
1394	挖	1	6316	CDDA
1395	按	1	6309	B0B4
1396	挥	1	6325	BBD3
1397	挪	1	632A	C5B2
1398	拯	1	62EF	D5FC
1399	某	1	67D0	C4B3
1400	甚	1	751A	C9F5
1401	荆	1	8346	BEA3
1402	茸	1	8338	C8D7
1403	革	1	9769	B8EF
1404	茬	1	832C	B2E7
1405	荐	1	8350	BCF6
1406	巷	1	5DF7	CFEF
1407	带	1	5E26	B4F8
1408	草	1	8349	B2DD
1409	茧	1	8327	BCEB
1410	茵	1	8335	D2F0
1411	茶	1	8336	B2E8
1412	荒	1	8352	BBC4
1413	茫	1	832B	C3A3
1414	荡	1	8361	B5B4
1415	荣	1	8363	C8D9
1416	荤	1	8364	BBE7
1417	荧	1	8367	D3AB
1418	故	1	6545	B9CA
1419	胡	1	80E1	BAFA
1420	荫	1	836B	D2F1
1421	荔	1	8354	C0F3
1422	南	1	5357	C4CF
1423	药	1	836F	D2A9
1424	标	1	6807	B1EA
1425	栈	1	6808	D5BB
1426	柑	1	67D1	B8CC
1427	枯	1	67AF	BFDD
1428	柄	1	67C4	B1FA
1429	栋	1	680B	B6B0
1430	相	1	76F8	CFE0
1431	查	1	67E5	B2E9
1432	柏	1	67CF	B0D8
1433	栅	1	6805	D5A4
1434	柳	1	67F3	C1F8
1435	柱	1	67F1	D6F9
1436	柿	1	67FF	CAC1
1437	栏	1	680F	C0B8
1438	柠	1	67E0	C4FB
1439	树	1	6811	CAF7
1440	勃	1	52C3	B2AA
1441	要	1	8981	D2AA
1442	柬	1	67EC	BCED
1443	咸	1	54B8	CFCC
1444	威	1	5A01	CDFE
1445	歪	1	6B6A	CDE1
1446	研	1	7814	D1D0
1447	砖	1	7816	D7A9
1448	厘	1	5398	C0E5
1449	厚	1	539A	BAF1
1450	砌	1	780C	C6F6
1451	砂	1	7802	C9B0
1452	泵	1	6CF5	B1C3
1453	砚	1	781A	D1E2
1454	砍	1	780D	BFB3
1455	面	1	9762	C3E6
1456	耐	1	8010	C4CD
1457	耍	1	800D	CBA3
1458	牵	1	7275	C7A3
1459	鸥	1	9E25	C5B8
1460	残	1	6B8B	B2D0
1461	殃	1	6B83	D1EA
1462	轴	1	8F74	D6E1
1463	轻	1	8F7B	C7E1
1464	鸦	1	9E26	D1BB
1465	皆	1	7686	BDD4
1466	韭	1	97ED	BEC2
1467	背	1	80CC	B1B3
1468	战	1	6218	D5BD
1469	点	1	70B9	B5E3
1470	虐	1	8650	C5B0
1471	临	1	4E34	C1D9
1472	览	1	89C8	C0C0
1473	竖	1	7AD6	CAFA
1474	省	1	7701	CAA1
1475	削	1	524A	CFF7
1476	尝	1	5C1D	B3A2
1477	昧	1	6627	C3C1
1478	盹	1	76F9	EDEF
1479	是	1	662F	CAC7
1480	盼	1	76FC	C5CE
1481	眨	1	7728	D5A3
1482	哇	1	54C7	CDDB
1483	哄	1	54C4	BAE5
1484	哑	1	54D1	D1C6
1485	显	1	663E	CFD4
1486	冒	1	5192	C3B0
1487	映	1	6620	D3B3
1488	星	1	661F	D0C7
1489	昨	1	6628	D7F2
1490	咧	1	54A7	DFD6
1491	昭	1	662D	D5D1
1492	畏	1	754F	CEB7
1493	趴	1	8DB4	C5BF
1494	胃	1	80C3	CEB8
1495	贵	1	8D35	B9F3
1496	界	1	754C	BDE7
1497	虹	1	8679	BAE7
1498	虾	1	867E	CFBA
1499	蚁	1	8681	D2CF
1500	思	1	601D	CBBC
1501	蚂	1	8682	C2EC
1502	虽	1	867D	CBE4
1503	品	1	54C1	C6B7
1504	咽	1	54BD	D1CA
1505	骂	1	9A82	C2EE
1506	勋	1	52CB	D1AB
1507	哗	1	54D7	BBA9
1508	咱	1	54B1	D4DB
1509	响	1	54CD	CFEC
1510	哈	1	54C8	B9FE
1511	哆	1	54C6	B6DF
1512	咬	1	54AC	D2A7
1513	咳	1	54B3	BFC8
1514	咪	1	54AA	DFE4
1515	哪	1	54EA	C4C4
1516	哟	1	54DF	D3B4
1517	炭	1	70AD	CCBF
1518	峡	1	5CE1	CFBF
1519	罚	1	7F5A	B7A3
1520	贱	1	8D31	BCFA
1521	贴	1	8D34	CCF9
1522	贻	1	8D3B	EADD
1523	骨	1	9AA8	B9C7
1524	幽	1	5E7D	D3C4
1525	钙	1	9499	B8C6
1526	钝	1	949D	B6DB
1527	钞	1	949E	B3AE
1528	钟	1	949F	D6D3
1529	钢	1	94A2	B8D6
1530	钠	1	94A0	C4C6
1531	钥	1	94A5	D4BF
1532	钦	1	94A6	C7D5
1533	钧	1	94A7	BEFB
1534	钩	1	94A9	B9B3
1535	钮	1	94AE	C5A5
1536	卸	1	5378	D0B6
1537	缸	1	7F38	B8D7
1538	拜	1	62DC	B0DD
1539	看	1	770B	BFB4
1540	矩	1	77E9	BED8
1541	毡	1	6BE1	D5B1
1542	氢	1	6C22	C7E2
1543	怎	1	600E	D4F5
1544	牲	1	7272	C9FC
1545	选	1	9009	D1A1
1546	适	1	9002	CACA
1547	秒	1	79D2	C3EB
1548	香	1	9999	CFE3
1549	种	1	79CD	D6D6
1550	秋	1	79CB	C7EF
1551	科	1	79D1	BFC6
1552	重	1	91CD	D6D8
1553	复	1	590D	B8B4
1554	竿	1	7AFF	B8CD
1555	段	1	6BB5	B6CE
1556	便	1	4FBF	B1E3
1557	俩	1	4FE9	C1A9
1558	贷	1	8D37	B4FB
1559	顺	1	987A	CBB3
1560	修	1	4FEE	D0DE
1561	俏	1	4FCF	C7CE
1562	保	1	4FDD	B1A3
1563	促	1	4FC3	B4D9
1564	俄	1	4FC4	B6ED
1565	俐	1	4FD0	C0FE
1566	侮	1	4FAE	CEEA
1567	俭	1	4FED	BCF3
1568	俗	1	4FD7	CBD7
1569	俘	1	4FD8	B7FD
1570	信	1	4FE1	D0C5
1571	皇	1	7687	BBCA
1572	泉	1	6CC9	C8AA
1573	鬼	1	9B3C	B9ED
1574	侵	1	4FB5	C7D6
1575	禹	1	79B9	D3ED
1576	侯	1	4FAF	BAEE
1577	追	1	8FFD	D7B7
1578	俊	1	4FCA	BFA1
1579	盾	1	76FE	B6DC
1580	待	1	5F85	B4FD
1581	徊	1	5F8A	BBB2
1582	衍	1	884D	D1DC
1583	律	1	5F8B	C2C9
1584	很	1	5F88	BADC
1585	须	1	987B	D0EB
1586	叙	1	53D9	D0F0
1587	剑	1	5251	BDA3
1588	逃	1	9003	CCD3
1589	食	1	98DF	CAB3
1590	盆	1	76C6	C5E8
1591	胚	1	80DA	C5DF
1592	胧	1	80E7	EBCA
1593	胆	1	80C6	B5A8
1594	胜	1	80DC	CAA4
1595	胞	1	80DE	B0FB
1596	胖	1	80D6	C5D6
1597	脉	1	8109	C2F6
1598	胎	1	80CE	CCA5
1599	勉	1	52C9	C3E3
1600	狭	1	72ED	CFC1
1601	狮	1	72EE	CAA8
1602	独	1	72EC	B6C0
1603	狰	1	72F0	D5F8
1604	狡	1	72E1	BDC6
1605	狱	1	72F1	D3FC
1606	狠	1	72E0	BADD
1607	贸	1	8D38	C3B3
1608	怨	1	6028	D4B9
1609	急	1	6025	BCB1
1610	饵	1	9975	B6FC
1611	饶	1	9976	C8C4
1612	蚀	1	8680	CAB4
1613	饺	1	997A	BDC8
1614	饼	1	997C	B1FD
1615	峦	1	5CE6	C2CD
1616	弯	1	5F2F	CDE4
1617	将	1	5C06	BDAB
1618	奖	1	5956	BDB1
1619	哀	1	54C0	B0A7
1620	亭	1	4EAD	CDA4
1621	亮	1	4EAE	C1C1
1622	度	1	5EA6	B6C8
1623	迹	1	8FF9	BCA3
1624	庭	1	5EAD	CDA5
1625	疮	1	75AE	B4AF
1626	疯	1	75AF	B7E8
1627	疫	1	75AB	D2DF
1628	疤	1	75A4	B0CC
1629	咨	1	54A8	D7C9
1630	姿	1	59FF	D7CB
1631	亲	1	4EB2	C7D7
1632	音	1	97F3	D2F4
1633	帝	1	5E1D	B5DB
1634	施	1	65BD	CAA9
1635	闺	1	95FA	B9EB
1636	闻	1	95FB	CEC5
1637	闽	1	95FD	C3F6
1638	阀	1	9600	B7A7
1639	阁	1	9601	B8F3
1640	差	1	5DEE	B2EE
1641	养	1	517B	D1F8
1642	美	1	7F8E	C3C0
1643	姜	1	59DC	BDAA
1644	叛	1	53DB	C5D1
1645	送	1	9001	CBCD
1646	类	1	7C7B	C0E0
1647	迷	1	8FF7	C3D4
1648	籽	1	7C7D	D7D1
1649	娄	1	5A04	C2A6
1650	前	1	524D	C7B0
1651	首	1	9996	CAD7
1652	逆	1	9006	C4E6
1653	兹	1	5179	D7C8
1654	总	1	603B	D7DC
1655	炼	1	70BC	C1B6
1656	炸	1	70B8	D5A8
1657	烁	1	70C1	CBB8
1658	炮	1	70AE	C5DA
1659	炫	1	70AB	ECC5
1660	烂	1	70C2	C0C3
1661	剃	1	5243	CCEA
1662	洼	1	6D3C	CDDD
1663	洁	1	6D01	BDE0
1664	洪	1	6D2A	BAE9
1665	洒	1	6D12	C8F7
1666	柒	1	67D2	C6E2
1667	浇	1	6D47	BDBD
1668	浊	1	6D4A	D7C7
1669	洞	1	6D1E	B6B4
1670	测	1	6D4B	B2E2
1671	洗	1	6D17	CFB4
1672	活	1	6D3B	BBEE
1673	派	1	6D3E	C5C9
1674	洽	1	6D3D	C7A2
1675	染	1	67D3	C8BE
1676	洛	1	6D1B	C2E5
1677	浏	1	6D4F	E4AF
1678	济	1	6D4E	BCC3
1679	洋	1	6D0B	D1F3
1680	洲	1	6D32	D6DE
1681	浑	1	6D51	BBEB
1682	浓	1	6D53	C5A8
1683	津	1	6D25	BDF2
1684	恃	1	6043	CAD1
1685	恒	1	6052	BAE3
1686	恢	1	6062	BBD6
1687	恍	1	604D	BBD0
1688	恬	1	606C	CCF1
1689	恤	1	6064	D0F4
1690	恰	1	6070	C7A1
1691	恼	1	607C	C4D5
1692	恨	1	6068	BADE
1693	举	1	4E3E	BED9
1694	觉	1	89C9	BEF5
1695	宣	1	5BA3	D0FB
1696	宦	1	5BA6	BBC2
1697	室	1	5BA4	CAD2
1698	宫	1	5BAB	B9AC
1699	宪	1	5BAA	CFDC
1700	突	1	7A81	CDBB
1701	穿	1	7A7F	B4A9
1702	窃	1	7A83	C7D4
1703	客	1	5BA2	BFCD
1704	诫	1	8BEB	BDEB
1705	冠	1	51A0	B9DA
1706	诬	1	8BEC	CEDC
1707	语	1	8BED	D3EF
1708	扁	1	6241	B1E2
1709	袄	1	8884	B0C0
1710	祖	1	7956	D7E6
1711	神	1	795E	C9F1
1712	祝	1	795D	D7A3
1713	祠	1	7960	ECF4
1714	误	1	8BEF	CEF3
1715	诱	1	8BF1	D3D5
1716	诲	1	8BF2	BBE5
1717	说	1	8BF4	CBB5
1718	诵	1	8BF5	CBD0
1719	垦	1	57A6	BFD1
1720	退	1	9000	CDCB
1721	既	1	65E2	BCC8
1722	屋	1	5C4B	CEDD
1723	昼	1	663C	D6E7
1724	屏	1	5C4F	C6C1
1725	屎	1	5C4E	CABA
1726	费	1	8D39	B7D1
1727	陡	1	9661	B6B8
1728	逊	1	900A	D1B7
1729	眉	1	7709	C3BC
1730	孩	1	5B69	BAA2
1731	陨	1	9668	D4C9
1732	除	1	9664	B3FD
1733	险	1	9669	CFD5
1734	院	1	9662	D4BA
1735	娃	1	5A03	CDDE
1736	姥	1	59E5	C0D1
1737	姨	1	59E8	D2CC
1738	姻	1	59FB	D2F6
1739	娇	1	5A07	BDBF
1740	姚	1	59DA	D2A6
1741	娜	1	5A1C	C4C8
1742	怒	1	6012	C5AD
1743	架	1	67B6	BCDC
1744	贺	1	8D3A	BAD8
1745	盈	1	76C8	D3AF
1746	勇	1	52C7	D3C2
1747	怠	1	6020	B5A1
