序号	汉字	级别	GB/T 13000	GB 18030
207	艾	1	827E	B0AC
208	古	1	53E4	B9C5
209	节	1	8282	BDDA
210	本	1	672C	B1BE
211	术	1	672F	CAF5
212	可	1	53EF	BFC9
213	丙	1	4E19	B1FB
214	左	1	5DE6	D7F3
215	厉	1	5389	C0F7
216	石	1	77F3	CAAF
217	右	1	53F3	D3D2
218	布	1	5E03	B2BC
219	夯	1	592F	BABB
220	戊	1	620A	CEEC
221	龙	1	9F99	C1FA
222	平	1	5E73	C6BD
223	灭	1	706D	C3F0
224	轧	1	8F67	D4FE
225	东	1	4E1C	B6AB
226	卡	1	5361	BFA8
227	北	1	5317	B1B1
228	占	1	5360	D5BC
229	凸	1	51F8	CDB9
230	卢	1	5362	C2AC
231	业	1	4E1A	D2B5
232	旧	1	65E7	BEC9
233	帅	1	5E05	CBA7
234	归	1	5F52	B9E9
235	旦	1	65E6	B5A9
236	目	1	76EE	C4BF
237	且	1	4E14	C7D2
238	叶	1	53F6	D2B6
239	甲	1	7532	BCD7
240	申	1	7533	C9EA
241	叮	1	53EE	B6A3
242	电	1	7535	B5E7
243	号	1	53F7	BAC5
244	田	1	7530	CCEF
245	由	1	7531	D3C9
246	只	1	53EA	D6BB
247	叭	1	53ED	B0C8
248	史	1	53F2	CAB7
249	央	1	592E	D1EB
250	兄	1	5144	D0D6
251	叽	1	53FD	DFB4
252	叼	1	53FC	B5F0
253	叫	1	53EB	BDD0
254	叩	1	53E9	DFB5
255	叨	1	53E8	DFB6
256	另	1	53E6	C1ED
257	叹	1	53F9	CCBE
258	冉	1	5189	C8BD
259	皿	1	76BF	C3F3
260	凹	1	51F9	B0BC
261	囚	1	56DA	C7F4
262	四	1	56DB	CBC4
263	生	1	751F	C9FA
264	矢	1	77E2	CAB8
265	失	1	5931	CAA7
266	乍	1	4E4D	D5A7
267	禾	1	79BE	BACC
268	丘	1	4E18	C7F0
269	付	1	4ED8	B8B6
270	仗	1	4ED7	D5CC
271	代	1	4EE3	B4FA
272	仙	1	4ED9	CFC9
273	们	1	4EEC	C3C7
274	仪	1	4EEA	D2C7
275	白	1	767D	B0D7
276	仔	1	4ED4	D7D0
277	他	1	4ED6	CBFB
278	斥	1	65A5	B3E2
279	瓜	1	74DC	B9CF
280	乎	1	4E4E	BAF5
281	丛	1	4E1B	B4D4
282	令	1	4EE4	C1EE
283	用	1	7528	D3C3
284	甩	1	7529	CBA6
285	印	1	5370	D3A1
286	尔	1	5C14	B6FB
287	乐	1	4E50	C0D6
288	句	1	53E5	BEE4
289	匆	1	5306	B4D2
290	册	1	518C	B2E1
291	卯	1	536F	C3AE
292	犯	1	72AF	B7B8
293	外	1	5916	CDE2
294	处	1	5904	B4A6
295	冬	1	51AC	B6AC
296	鸟	1	9E1F	C4F1
297	务	1	52A1	CEF1
298	包	1	5305	B0FC
299	饥	1	9965	BCA2
300	主	1	4E3B	D6F7
301	市	1	5E02	CAD0
302	立	1	7ACB	C1A2
303	冯	1	51AF	B7EB
304	玄	1	7384	D0FE
305	闪	1	95EA	C9C1
306	兰	1	5170	C0BC
307	半	1	534A	B0EB
308	汁	1	6C41	D6AD
309	汇	1	6C47	BBE3
310	头	1	5934	CDB7
311	汉	1	6C49	BABA
312	宁	1	5B81	C4FE
313	穴	1	7A74	D1A8
314	它	1	5B83	CBFC
315	讨	1	8BA8	CCD6
316	写	1	5199	D0B4
317	让	1	8BA9	C8C3
318	礼	1	793C	C0F1
319	训	1	8BAD	D1B5
320	议	1	8BAE	D2E9
321	必	1	5FC5	B1D8
322	讯	1	8BAF	D1B6
323	记	1	8BB0	BCC7
324	永	1	6C38	D3C0
325	司	1	53F8	CBBE
326	尼	1	5C3C	C4E1
327	民	1	6C11	C3F1
328	弗	1	5F17	B8A5
329	弘	1	5F18	BAEB
330	出	1	51FA	B3F6
331	辽	1	8FBD	C1C9
332	奶	1	5976	C4CC
333	奴	1	5974	C5AB
334	召	1	53EC	D5D9
335	加	1	52A0	BCD3
336	皮	1	76AE	C6A4
337	边	1	8FB9	B1DF
338	孕	1	5B55	D4D0
339	发	1	53D1	B7A2
340	圣	1	5723	CAA5
341	对	1	5BF9	B6D4
342	台	1	53F0	CCA8
343	矛	1	77DB	C3AC
344	纠	1	7EA0	BEC0
345	母	1	6BCD	C4B8
346	幼	1	5E7C	D3D7
347	丝	1	4E1D	CBBF
348	邦	1	90A6	B0EE
349	式	1	5F0F	CABD
350	迂	1	8FC2	D3D8
351	刑	1	5211	D0CC
352	戎	1	620E	C8D6
353	动	1	52A8	B6AF
354	扛	1	625B	BFB8
355	寺	1	5BFA	CBC2
356	吉	1	5409	BCAA
357	扣	1	6263	BFDB
358	考	1	8003	BFBC
359	托	1	6258	CDD0
360	老	1	8001	C0CF
361	巩	1	5DE9	B9AE
